name,brand,deal_price,regular_price,product_highlights,avg_overall_rating,amount_of_ratings
"Samsung 50"" Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray",Samsung,$379.99,$479.99,"['Crystal Processor 4K - This ultra-fast processor transforms everything you watch into stunning 4K.', 'Smart TV Powered by Tizen - Go beyond Smart TV with next-gen apps, super-easy control and a host of enhancements that elevate the TV-watching experience.', ""HDR - unveils shaded of color you can't find on HDTV."", 'Crystal Display - Experience crystal-clear colors that are fine-tuned to deliver a naturally crisp and vivid picture.', 'Universal Guide - One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.', 'Game Enhancer - The TV automatically adjusts settings to help games run smoothly.']",4.5,8207
"Samsung 55"" Smart 4K UHD TV (UN55AU8000) - Black",Samsung,$479.99,$629.99,"[""Dynamic Crystal Color - Witness true-to-life color that can't be found on HDTV, with millions of shades revealed through powerful Dynamic Crystal technology."", ""Crystal Processor 4K - See every detail with stunning clarity. The powerful processor, specifically tuned for Crystal Displays, converts what you're watching to 4K."", 'Smart TV with Multiple Voice Assistants - Access a world of content beyond streaming. Schedule recordings, search, auto-adjust game settings, seamlessly connect with a host of compatible devices across your home, and control your TV with your voice, all with one easy-to-use remote.', '3 HDMI Ports - Connect up to 3 devices with HDMI.', 'HDR - Enjoy a whole new world of vivid color and detail found in newer films and streaming service content with HDR, also known as High Dynamic Range.', ""Motion Xcelerator - Never miss a beat with minimized blur and enhanced motion clarity, and catch all the fast-moving action whether you're watching sports or taking advantage of newer gaming capabilities.""]",4.6,1790
"VIZIO 65"" Class M6 Series 4K QLED HDR Smart TV - M65Q6-J09",VIZIO,$599.99,$719.99,"['4K Ultra HD - Over 8 million pixels for breathtaking detail. 4 times the resolution of 1080p!', ""Full Array Backlight with Active Pixel Tuning -Evenly distributed LEDs across the screen's backlight deliver superior light uniformity and picture performance."", 'SmartCast -  Instant access to the best selection of apps from top-tier streaming services like Netflix, Disney+, YouTube, HBO Max, discovery+ and many more right out of the box.', 'Apple AirPlay 2 and Chromecast Built-In - Stream, control, mirror and share your content from your Apple or Android devices directly to the TV.', ""What's Included - VIZIO Voice Remote with batteries, Power Cable, Quick Start Guide and User Manual."", '3 HDMI 2.1 Ports - Offers the highest video performance for 4K entertainment devices, superior audio quality with eARC for high bit-rate audio pass-through for Dolby Atmos and DTS:X.']",4.5,969
"Element 40"" 1080p FHD LED Roku TV",Element,$199.99,$269.99,"['Built-in smart Roku platform with easy-to-use Roku remote for endless streaming', 'Crisp 1080P FHD Resolution', 'Works with Google Assistant, Amazon Alexa, Apple AirPlay, and Apple HomeKit', 'Free Roku mobile app to easily control your Roku TV with everything you need to manage your streaming', 'Distance Between TV Feet: 33.3”']",4.3,271
"VIZIO V-Series 43"" Class 4K HDR Smart TV - V435-J01",VIZIO,$289.99,$309.99,"['4K Ultra HD - Over 8 million pixels for breathtaking detail. 4 times the resolution of 1080p!', ""Full Array Backlight  LEDs are evenly distributed across the screen's backlight for superior light uniformity and picture performance."", 'SmartCast -  Instant access to the best selection of apps from top-tier streaming services like Netflix, Disney+, YouTube, HBO Max, discovery+ and many more right out of the box.', 'Apple AirPlay 2 and Chromecast Built-In - Stream, control, mirror and share your content from your Apple or Android devices directly to the TV.', ""What's Included - VIZIO Voice Remote with batteries, Power Cable, Quick Start Guide and User Manual."", '3 HDMI 2.1 Ports - Offers the highest video performance for 4K entertainment devices, superior audio quality with eARC for high bit-rate audio pass-through for Dolby Atmos and DTS:X.']",4.6,31713
"LG 65"" Class 4K UHD Smart OLED TV - OLED65C2PUA",LG Electronics,"$2,099.99","$2,499.99","['OLED evo', 'Α9Gen5 AIProcessor 4K: AI Picture Pro & AI Sound Pro', 'Cinema HDR (Dolby Vision, HDR10, HLG), Dynamic Tone Mapping Pro', 'Home Cinema: Dolby Vision IQ, Dolby Atmos, and FILMMAKER MODE', 'WebOS 22 w/ Magic Remote', 'LG Channels: Free access to programming on over 300+ LG Channels']",4.9,78
"Element 43"" 4K UHD Roku TV",Element,$249.99,$329.99,"['Built-in smart Roku platform with easy-to-use Roku remote for endless streaming', 'Striking 4K UHD (2160p) Resolution and HDR10 for the best viewing experience', 'Works with Google Assistant, Amazon Alexa, Apple AirPlay, and Apple HomeKit', 'Free Roku mobile app to easily control your Roku TV with everything you need to manage your streaming', 'Distance Between TV Feet: 34”']",4.3,362
"Westinghouse 50"" 4K Ultra HD Roku Smart TV with HDR",Westinghouse,$299.99,$429.99,"['50” 4K UHD Roku TV with HDR10', 'Dolby Audio', '3 HDMI (1 ARC), 1 USB', 'Built-In Wi-Fi', 'Access Top Streaming & International Channels', 'Compatible with your Amazon Alexa, Apple AirPlay2 or Google Assistant-enabled devices.']",3.3,108
"LG 75"" NanoCell 4K UHD Smart LED HDR TV - 75NANO75",LG Electronics,$899.99,"$1,349.99","['Real 4K NanoCell Display', 'Quad Core Processor 4K', 'Built-in acess to Netflix, Prime Video, Apple TV+, Disney+, LG Channels', 'Home Cinema Experience: Active HDR, HDR10, Filmmaker Mode', 'Ultimate Gameplay: Game Optimizer, ALLM, eARC, HGiG', 'webOS + LG ThinQ AI w/ Magic Remote']",4.6,569
"TCL 65"" Roku 4K UHD HDR Smart TV - 65S435",TCL,$449.99,$719.99,"['Stunning 4K Ultra HD – 4K resolution delivers stunning detail and a remarkable visual experience.', 'High Dynamic Range – HDR delivers bright and accurate colors for a lifelike viewing experience.', 'Thousands of streaming channels – Enjoy the over 500,000 movies and TV episodes available to stream plus sports, news, music, kids and family, food, science and tech, fitness, foreign language and so much more.', 'Easy Voice Control – Find movie titles, launch or change channels, even switch inputs, using just your voice. Access to voice control feature available through the Roku mobile app, compatible third-party voice assistant devices and voice-enabled remote controls that can be purchased separately. Works with Amazon Alexa and Google Assistant.', 'Simple, personalized home screen – Your favorite broadcast TV, streaming channels, gaming console and other devices are front-and-center. No more flipping through inputs or wading through complicated menus. Like apps on a smartphone, all your favorites are at your fingertips from the instant you turn it on.', 'Cord cutting made easy with smart features built-in – Cord cutters can access free, over-the-air HD content thanks to the Advanced digital TV Tuner with Live TV Channel Guide or watch live TV from popular cable-replacement services like YouTube TV, Sling, Hulu and more.']",3.8,356
