data_source,title,brand,deal_price,list_price,multi_item_t_f,avg_rating,amount_rating,deal_start,deal_end,description
Rainforest API,Prime members save on Fire TV Gaming Bundle with Fire TV Stick 4K Max and Luna Controller,Amazon.com,,,True,0.0,0.0,2022-06-21T05:00:00.490Z,2022-07-05T14:55:00.490Z,While supplies last. Valid only when shipped and sold by Amazon.com.
Rainforest API,Prime members save on Fire TV Gaming Bundle including Fire TV Stick 4K and Luna Controller,Amazon.com,,,True,0.0,0.0,2022-06-21T05:00:00.490Z,2022-07-05T14:55:00.490Z,While supplies last. Valid only when shipped and sold by Amazon.com.
Rainforest API,Sony BDP-S6700 4K Upscaling 3D Streaming Home Theater Blu-Ray Disc Player,Amazon.com,,,True,0.0,0.0,2022-06-30T07:00:00.490Z,2022-07-18T06:59:59.490Z,On sale for limited time only. Valid while supplies last and when shipped & sold by Amazon.com.
Rainforest API,Sony 55 Inch X85K 4K Ultra HD LED Smart Google TV Dolby Vision HDR ,Amazon.com,,,True,0.0,0.0,2022-06-30T07:00:00.490Z,2022-07-18T06:59:59.490Z,On sale for limited time only. Valid while supplies last and when shipped & sold by Amazon.com.
Rainforest API,Sony 55 Inch X90K 4K Ultra HD BRAVIA XR Full Array LED Smart TV ,Amazon.com,,,True,0.0,0.0,2022-06-30T07:00:00.490Z,2022-07-18T06:59:59.490Z,On sale for limited time only. Valid while supplies last and when shipped & sold by Amazon.com.
Rainforest API,"PERLESMITH TV Wall Mount Full Motion for 32-55 Inch Flat Curved Screen TVs, TV Mount with Swivels Tilts Extension Dual Articulating Bracket Arms Supports TV up to 99 lbs Max VESA 400x400,PSMFK9",PERLESMITH,33.99,49.99,False,4.73,115.0,2022-07-04T07:00:00.491Z,2022-07-11T06:45:00.491Z,"PERLESMITH TV Wall Mount Full Motion for 32-55 Inch Flat Curved Screen TVs, TV Mount with Swivels Tilts Extension Dual Articulating Bracket Arms Supports TV up to 99 lbs Max VESA 400x400,PSMFK9"
Rainforest API,Suptek TV Wall Mount,Suptek,10.89,19.99,False,4.57,2841.0,2022-07-04T07:00:00.491Z,2022-07-11T06:45:00.491Z,Suptek TV Wall Mount
Rainforest API,"Suptek Adjustable TV Wall Mount Swivel and Tilt TV Arm Bracket for Most 32-55 inch LED, LCD Monitor and Plasma TVs up to 70lbs VESA up to 400x400mm (MAFD-L400)",YB-US,16.99,,False,4.65,7170.0,2022-07-04T07:00:00.491Z,2022-07-11T06:45:00.491Z,"Suptek Adjustable TV Wall Mount Swivel and Tilt TV Arm Bracket for Most 32-55 inch LED, LCD Monitor and Plasma TVs up to 70lbs VESA up to 400x400mm (MAFD-L400)"
Rainforest API,"Universal TV Stand Table Top for 27 to 85 Inch LED LCD Flat Screen TV, Height Adjustable Leg Stand Holds up to 110lbs, VESA up to 1000x800mm (ML2785)",YB-US,16.14 - 21.24,29.99,True,4.38,2536.0,2022-07-04T07:00:00.491Z,2022-07-11T06:45:00.491Z,"Universal TV Stand Table Top for 27 to 85 Inch LED LCD Flat Screen TV, Height Adjustable Leg Stand Holds up to 110lbs, VESA up to 1000x800mm (ML2785)"
Rainforest API,Electronics and Accessories,Amazon.com,12.1 - 175.1,13.99 - 449,True,4.48,3124.0,2022-07-04T07:00:00.491Z,2022-07-17T07:00:00.491Z,Electronics and Accessories are on sale for limited time only. Valid while supplies last and when shipped & sold by Amazon.com. Discount reflected in current price.
